日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2010/4/1,3349.88,3392.48,3349.88,3391.94,92360.5,6777267200
2010/4/2,3400.14,3412.2,3391.81,3407.35,99040.76,6907345600
2010/4/3,3422.85,3436.29,3386.89,3405.15,93985.88,6519171200
2010/4/4,3403.09,3404.58,3369.02,3386.95,76733.16,5401122800
2010/4/5,3381.31,3381.31,3336.16,3346.74,89317.47,6218532000
2010/4/6,3348.77,3379.4,3342.47,3379.17,75590.36,5128056800
2010/4/7,3388.36,3393.56,3330.3,3351.48,105996.61,7456515200
2010/4/8,3350.73,3401.71,3324.05,3391.72,116440.34,7990769600
2010/4/9,3394.64,3404.52,3377.44,3403.71,90787.57,6030613200
2010/4/10,3407.02,3412.94,3365.88,3394.57,88700.23,6105168400
2010/4/11,3388.29,3388.29,3348.78,3356.33,67235.6,4714036800
2010/4/12,3313.5,3313.5,3175.44,3176.42,118855.97,8841630400
2010/4/13,3176.41,3196.65,3130.96,3173.37,88005.97,6413786000
2010/4/14,3178.88,3237.54,3164.76,3236.68,93373.38,6692833200
2010/4/15,3222.68,3231.99,3177.73,3201.54,98970.38,7108168800
2010/4/16,3198.78,3224.74,3172.58,3190,92115.67,6125268000
2010/4/17,3195.46,3207.72,3168.37,3172,74959.12,5089420000
2010/4/18,3163.1,3163.1,3060.85,3108.41,88058.36,6529657600
2010/4/19,3080.32,3122.12,3062.09,3097.35,65484.92,4599540800
2010/4/20,3114.94,3130.7,3059.8,3060.06,69250.87,4826097200
2010/4/21,3060.12,3068.13,3014.07,3067.37,73190.89,5447788000
2010/4/22,3005.49,3056.08,2994.92,3019.45,54558.61,4124860800
2010/4/23,2981.78,3036.87,2943.36,3036.39,80835.34,5967044000
2010/4/24,3014.91,3014.91,2895.39,2896.86,81502.26,5877041200
2010/4/25,2835.88,2892.53,2817.15,2836.79,79147.5,6111940000
2010/4/26,2842.37,2872.31,2798.52,2858.23,64909.19,5020917200
2010/4/27,2916.34,2922.13,2790.7,2800.82,73894.66,5836348800
2010/4/28,2781.71,2832.15,2756.42,2818.16,64693.99,5300227200
2010/4/29,2818.58,2886.97,2811.66,2886.91,67486.54,5514577600
2010/4/30,2865.58,2888.09,2849.24,2868.02,55175.29,4249872000
2010/5/1,2828.88,2828.88,2712.44,2714.72,62395.51,5216684800
2010/5/2,2711.41,2781.85,2686.97,2771.35,62746.24,5450967200
2010/5/3,2748.95,2803.7,2723.3,2762.17,54656.4,4557622000
2010/5/4,2739.22,2793.88,2721.07,2726.02,52677.92,4217480400
2010/5/5,2656.42,2769.09,2647.6,2768.79,63501.81,5447538400
2010/5/6,2787.75,2886.37,2787.75,2873.47,89961.88,7450233600
