日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量
2010-04-01,8,8.17,8,8.12,221.11,27310200
2010-04-02,8.19,8.45,8.19,8.43,605.36,72222200
2010-04-06,8.45,8.57,8.32,8.35,352.89,41769400
2010-04-07,8.35,8.55,8.27,8.53,319.6,37766900
2010-04-08,8.5,8.52,8.26,8.29,282.02,33700000
2010-04-09,8.29,8.41,8.26,8.35,130.86,15708100
2010-04-12,8.4,8.45,8.1,8.1,244.33,29770100
2010-04-13,8.1,8.27,8,8.19,200.14,24506800
2010-04-14,8.2,8.31,8.19,8.2,183.56,22290300
2010-04-15,8.23,8.25,8.02,8.09,182.99,22519800
2010-04-16,8.06,8.15,8,8.02,179.25,22299700
2010-04-19,7.98,7.98,7.39,7.4,422.52,55446100
2010-04-20,7.4,7.49,7.08,7.22,366.45,50796200
2010-04-21,7.31,7.37,7.19,7.34,283.33,38930300
2010-04-22,7.35,7.35,7.13,7.21,226.34,31388900
2010-04-23,7.2,7.28,7.15,7.18,185.46,25772000
2010-04-26,7.19,7.24,7.15,7.16,158.39,22072400
2010-04-27,7.14,7.14,6.77,6.87,234.79,33880000
2010-04-28,6.8,7.03,6.71,6.94,150.19,21761500
2010-04-29,6.99,7.04,6.85,6.85,104.87,15089400
2010-04-30,6.86,7.02,6.8,6.95,183.32,26385200
2010-05-04,6.87,6.9,6.61,6.74,164.41,24246400
2010-05-05,6.7,6.71,6.36,6.71,219.58,33600700
2010-05-06,6.62,6.65,6.28,6.31,167.01,25884400
2010-05-07,6.1,6.18,5.99,6.05,232.7,38381400
2010-05-10,6.05,6.12,5.92,6.07,134.72,22312200
2010-05-11,6.07,6.07,6.07,6.07,0,0
2010-05-12,5.85,6.07,5.8,5.97,147.67,24762300
2010-05-13,6.01,6.18,5.94,6.17,159.52,26357500
2010-05-14,6.09,6.12,6.01,6.04,161.71,26704000
2010-05-17,5.95,5.97,5.5,5.54,180.92,31426800
2010-05-18,5.56,5.73,5.44,5.67,156.24,27896400
2010-05-19,5.61,5.76,5.52,5.62,123.17,21859800
2010-05-20,5.6,5.77,5.55,5.58,129.45,22877900
