日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量
2010-04-30,8,8.57,6.71,6.95,5217.77,671385500
2010-05-31,6.87,6.9,5.35,5.67,3138.93,523553400
2010-06-30,5.6,5.74,5.01,5.08,1724.26,312700500
2010-07-30,5.07,6.28,4.75,6.04,3836.32,678557700
2010-08-31,6.05,6.18,5.65,5.68,3834.12,652849900
2010-09-30,5.68,6.11,5.27,5.42,2991.88,525038600
2010-10-29,5.48,6.79,5.46,6.12,7129.13,1158804500
2010-11-30,6.1,6.85,5.16,5.24,6044.92,997356600
2010-12-31,5.23,5.74,5.2,5.34,2917.15,534596900
2011-01-31,5.4,5.69,5.21,5.56,2399.81,439481000
2011-02-28,5.58,6.08,5.39,5.74,2838.06,490705000
2011-03-31,5.72,6,5.61,5.76,4618.42,796112700
2011-04-29,5.73,6.86,5.72,6.15,7845.71,1237041600
2011-05-31,6.15,6.3,5.19,5.28,3683.76,642830800
2011-06-30,5.28,5.3,4.93,5.15,2201.44,427938100
2011-07-29,5.14,5.39,4.96,5.05,2172.2,417433000
2011-08-31,5.04,5.07,4.35,4.62,1393.49,296504600
2011-09-30,4.63,4.67,4.33,4.39,637.35,142351300
2011-10-31,4.4,4.69,4.32,4.57,790.75,175167300
2011-11-30,4.55,4.73,4.16,4.17,1000.55,220642200
2011-12-30,4.26,4.32,3.67,3.73,669.19,170628900
2012-01-31,3.75,3.98,3.55,3.85,757.39,199451800
2012-02-29,3.83,4.2,3.77,4.11,1258.16,316654100
2012-03-30,4.09,4.16,3.61,3.65,1141.98,287684400
2012-04-27,3.65,3.89,3.63,3.85,663.36,175103600
2012-05-31,3.88,3.98,3.69,3.75,899.46,234618300
2012-06-29,3.74,3.78,3.47,3.53,431.21,118154800
2012-07-31,3.54,3.72,3.4,3.55,578.53,164288200
2012-08-31,3.52,3.65,3.15,3.29,668.09,189461100
2012-09-28,3.28,3.55,3.15,3.37,657.88,196880100
2012-10-31,3.37,3.54,3.27,3.32,446.66,132074600
2012-11-30,3.32,3.42,3.21,3.27,371.78,112344600
2012-12-31,3.27,3.65,3.22,3.61,993.86,288996300
2013-01-31,3.71,3.81,3.53,3.72,1202.78,329327700
2013-02-28,3.71,3.81,3.52,3.59,698.15,190280300
2013-03-29,3.59,3.6,3.29,3.33,771.12,224210800
2013-04-26,3.3,3.36,3.22,3.25,472.04,143292800
2013-05-31,3.23,3.33,3.18,3.28,771.09,237294700
2013-06-28,3.28,3.29,2.42,2.57,772.33,270603800
2013-07-31,2.55,2.65,2.4,2.45,777.56,309089900
2013-08-30,2.46,2.74,2.44,2.65,797.12,307646200
2013-09-30,2.64,2.98,2.61,2.67,1252.87,456583100
2013-10-31,2.66,2.78,2.51,2.59,587.72,220086200
2013-11-29,2.59,2.78,2.5,2.75,642.76,244450800
2013-12-31,2.76,2.84,2.53,2.59,765.5,282534100
2014-01-30,2.59,2.62,2.38,2.45,413.34,168194900
2014-02-28,2.44,2.56,2.38,2.41,447.38,180994200
2014-03-31,2.41,2.44,2.3,2.37,550.83,232478400
2014-04-30,2.36,2.46,2.33,2.35,574.53,238513800
2014-05-30,2.35,2.98,2.34,2.54,2234.22,841545000
2014-06-30,2.54,2.72,2.43,2.65,1041.17,410357400
2014-07-31,2.67,2.94,2.62,2.82,1643.77,596928900
2014-08-29,2.82,2.94,2.72,2.76,1679.98,596069400
2014-09-30,2.76,3.17,2.75,3.1,2711.24,902289300
2014-10-31,3.1,4.75,3.09,4.3,12742.13,3123647600
2014-11-28,4.3,4.59,3.93,4.41,7373.85,1719830400
2014-12-31,4.41,5.92,4.26,5.27,18499.47,3666971200
2015-01-30,5.27,5.58,4.5,4.92,7758.06,1532027700
2015-02-27,4.83,5.03,4.51,4.96,2689.14,558352500
2015-03-31,5,5.85,4.8,5.59,9906.83,1853563424
